Team,Owner
Milwaukee,Robert
Boston,Robert
Miami,Joey
Toronto,Joey
Philadelphia,Adam
Indiana,Johnny
Brooklyn,Johnny
Orlando,Adam
Washington,Robert
Charlotte,Unowned
Chicago,Adam
Cleveland,Joey
Detroit,Robert
Atlanta,Robert
New York,Unowned
L.A. Lakers,Joey
Denver,Johnny
Houston,Joey
L.A. Clippers,Johnny
Utah,Adam
Dallas,Robert
Phoenix,Johnny
Minnesota,Joey
Sacramento,Johnny
New Orleans,Joey
San Antonio,Adam
Memphis,Adam
Oklahoma City,Johnny
Portland,Robert
Golden St.,Adam
